Model,RMSE (MW),MAPE (%),Selected lambda (RMSE),Selected lambda (MAPE),Test start,Test end
"LR(smoothed T, smoothed T^2)",6513.332502573761,10.659622980132664,,,2015-01-01T00:00,2015-12-31T23:30
"LR(T, T^2, smoothed T, smoothed T^2)",6165.056094092769,9.858115921555214,,,2015-01-01T00:00,2015-12-31T23:30
LR(Y[t-7 days]),4430.941890325939,5.676247034551237,,,2015-01-01T00:00,2015-12-31T23:30
"LR(T features, Y[t-7 days])",3761.0171093501563,5.298016633447526,,,2015-01-01T00:00,2015-12-31T23:30
RidgeSig,3265.208189334577,4.459622682293101,0.1,0.1,2015-01-01T00:00,2015-12-31T23:30
