season,method,observations,rmse_mw,mae_mw,mape_percent
Winter (DJF),Rolling Window Signature,4320,3484.6485263737964,2572.921949844992,3.99295613164042
Winter (DJF),Fading Memory Signature,4320,3567.136274915016,2681.850883116526,4.144072077827573
Spring (MAM),Rolling Window Signature,4416,3541.7773645501043,2561.743732157039,4.953703717966991
Spring (MAM),Fading Memory Signature,4416,3340.1468123051454,2409.6194611908363,4.694021812376599
Summer (JJA),Rolling Window Signature,4416,3822.979139461804,3023.201774812865,6.76273487398622
Summer (JJA),Fading Memory Signature,4416,3679.9612223086788,2844.093465002245,6.3380066691822154
Autumn (SON),Rolling Window Signature,4368,2744.128530401058,1992.6378216138255,3.7766317997537913
Autumn (SON),Fading Memory Signature,4368,2479.0226320598968,1769.8120771048025,3.348817897350097
